freq,psd_x,psd_y,psd_z,psd_xyz
0.0,8.783e+01,3.243e+02,6.502e+02,1.062e+03
1.6,2.401e+02,1.474e+03,5.554e+02,2.269e+03
3.1,2.964e+02,1.738e+03,2.210e+02,2.256e+03
4.7,3.382e+02,2.073e+03,5.332e+02,2.945e+03
6.3,2.931e+02,2.109e+03,1.466e+03,3.868e+03
7.8,2.827e+02,1.919e+03,2.370e+03,4.571e+03
9.4,3.051e+02,2.240e+03,3.092e+03,5.637e+03
11.0,3.660e+02,2.265e+03,3.764e+03,6.395e+03
12.5,3.546e+02,2.206e+03,4.861e+03,7.421e+03
14.1,3.620e+02,2.095e+03,6.048e+03,8.505e+03
15.7,3.842e+02,2.139e+03,7.708e+03,1.023e+04
17.2,4.066e+02,2.155e+03,9.453e+03,1.201e+04
18.8,3.886e+02,2.025e+03,1.137e+04,1.378e+04
20.4,3.422e+02,1.981e+03,1.364e+04,1.596e+04
21.9,3.328e+02,1.977e+03,1.599e+04,1.830e+04
23.5,3.536e+02,1.945e+03,1.876e+04,2.106e+04
25.1,3.749e+02,1.840e+03,2.174e+04,2.395e+04
26.6,4.041e+02,1.980e+03,2.580e+04,2.818e+04
28.2,4.144e+02,2.073e+03,2.945e+04,3.194e+04
29.8,4.446e+02,2.099e+03,3.366e+04,3.621e+04
31.4,4.785e+02,2.224e+03,3.949e+04,4.219e+04
32.9,4.567e+02,2.278e+03,4.437e+04,4.710e+04
34.5,5.295e+02,2.131e+03,5.047e+04,5.313e+04
36.1,5.777e+02,1.712e+03,6.098e+04,6.327e+04
37.6,6.349e+02,1.821e+03,7.085e+04,7.331e+04
39.2,6.607e+02,2.012e+03,7.972e+04,8.239e+04
40.8,7.322e+02,2.009e+03,8.642e+04,8.916e+04
42.3,9.523e+02,2.280e+03,9.614e+04,9.938e+04
43.9,1.368e+03,2.466e+03,1.181e+05,1.220e+05
45.5,1.851e+03,2.759e+03,1.487e+05,1.533e+05
47.0,2.197e+03,3.250e+03,1.876e+05,1.931e+05
48.6,2.557e+03,4.004e+03,2.364e+05,2.430e+05
50.2,3.045e+03,4.975e+03,2.956e+05,3.036e+05
51.7,3.511e+03,5.678e+03,3.419e+05,3.511e+05
53.3,3.777e+03,5.896e+03,3.744e+05,3.841e+05
54.9,3.797e+03,6.837e+03,4.702e+05,4.808e+05
56.4,4.332e+03,9.967e+03,6.534e+05,6.677e+05
58.0,6.645e+03,1.499e+04,9.919e+05,1.014e+06
59.6,1.231e+04,2.407e+04,1.515e+06,1.551e+06
61.1,2.003e+04,3.475e+04,2.229e+06,2.284e+06
62.7,2.927e+04,4.671e+04,2.740e+06,2.816e+06
64.3,3.796e+04,5.460e+04,2.720e+06,2.813e+06
65.8,3.797e+04,4.966e+04,2.350e+06,2.438e+06
67.4,3.853e+04,4.520e+04,1.935e+06,2.019e+06
69.0,4.333e+04,4.817e+04,1.655e+06,1.747e+06
70.5,3.033e+04,3.889e+04,1.264e+06,1.333e+06
72.1,1.794e+04,2.668e+04,8.443e+05,8.890e+05
73.7,1.275e+04,1.922e+04,5.487e+05,5.806e+05
75.2,1.116e+04,1.522e+04,3.913e+05,4.177e+05
76.8,1.322e+04,1.419e+04,2.944e+05,3.218e+05
78.4,1.802e+04,1.532e+04,2.243e+05,2.577e+05
79.9,2.261e+04,1.707e+04,1.736e+05,2.133e+05
81.5,2.606e+04,1.930e+04,1.407e+05,1.861e+05
83.1,2.671e+04,1.822e+04,1.208e+05,1.657e+05
84.6,2.732e+04,1.691e+04,9.564e+04,1.399e+05
86.2,2.942e+04,1.963e+04,6.998e+04,1.190e+05
87.8,3.129e+04,2.160e+04,5.422e+04,1.071e+05
89.3,3.134e+04,2.156e+04,4.758e+04,1.005e+05
90.9,3.113e+04,2.169e+04,4.214e+04,9.497e+04
92.5,3.130e+04,2.201e+04,3.578e+04,8.909e+04
94.1,3.075e+04,2.151e+04,2.941e+04,8.166e+04
95.6,3.039e+04,2.049e+04,2.378e+04,7.466e+04
97.2,3.069e+04,1.986e+04,1.943e+04,6.998e+04
98.8,3.189e+04,1.974e+04,1.602e+04,6.765e+04
100.3,3.162e+04,1.899e+04,1.363e+04,6.424e+04
101.9,2.778e+04,1.651e+04,1.185e+04,5.614e+04
103.5,2.485e+04,1.571e+04,1.369e+04,5.424e+04
105.0,2.459e+04,1.859e+04,1.959e+04,6.277e+04
106.6,2.539e+04,2.169e+04,2.413e+04,7.122e+04
108.2,2.579e+04,2.227e+04,2.648e+04,7.454e+04
109.7,2.392e+04,2.095e+04,2.413e+04,6.900e+04
111.3,2.179e+04,2.284e+04,1.846e+04,6.309e+04
112.9,2.351e+04,2.716e+04,1.656e+04,6.723e+04
114.4,2.958e+04,3.082e+04,2.046e+04,8.086e+04
116.0,3.572e+04,3.172e+04,2.762e+04,9.506e+04
117.6,3.871e+04,2.963e+04,3.394e+04,1.023e+05
119.1,3.427e+04,2.388e+04,3.287e+04,9.101e+04
120.7,2.500e+04,1.842e+04,2.754e+04,7.096e+04
122.3,2.346e+04,1.663e+04,2.677e+04,6.686e+04
123.8,2.633e+04,1.752e+04,2.682e+04,7.067e+04
125.4,3.075e+04,1.866e+04,2.939e+04,7.880e+04
127.0,3.471e+04,2.044e+04,3.323e+04,8.838e+04
128.5,3.859e+04,2.285e+04,3.811e+04,9.954e+04
130.1,4.271e+04,2.460e+04,4.506e+04,1.124e+05
131.7,4.467e+04,2.476e+04,5.033e+04,1.198e+05
133.2,2.442e+04,1.694e+04,3.159e+04,7.296e+04
134.8,8.458e+03,9.458e+03,1.685e+04,3.477e+04
136.4,8.629e+03,8.571e+03,2.098e+04,3.818e+04
137.9,9.585e+03,8.104e+03,2.698e+04,4.466e+04
139.5,1.073e+04,7.878e+03,3.305e+04,5.166e+04
141.1,1.190e+04,7.657e+03,3.816e+04,5.772e+04
142.6,1.399e+04,7.643e+03,4.506e+04,6.670e+04
144.2,1.996e+04,9.348e+03,6.227e+04,9.158e+04
145.8,2.795e+04,1.158e+04,8.638e+04,1.259e+05
147.3,3.753e+04,1.304e+04,1.106e+05,1.612e+05
148.9,4.558e+04,1.603e+04,1.297e+05,1.913e+05
150.5,5.013e+04,1.659e+04,1.354e+05,2.021e+05
152.1,5.460e+04,1.854e+04,1.438e+05,2.169e+05
153.6,6.063e+04,1.952e+04,1.565e+05,2.367e+05
155.2,6.708e+04,1.932e+04,1.677e+05,2.541e+05
156.8,6.909e+04,1.957e+04,1.709e+05,2.596e+05
158.3,7.482e+04,2.183e+04,1.834e+05,2.800e+05
159.9,8.581e+04,2.366e+04,2.048e+05,3.143e+05
161.5,9.117e+04,2.354e+04,2.114e+05,3.262e+05
163.0,9.240e+04,2.320e+04,2.109e+05,3.264e+05
164.6,1.042e+05,2.432e+04,2.308e+05,3.593e+05
166.2,1.363e+05,3.009e+04,2.931e+05,4.595e+05
167.7,1.569e+05,3.309e+04,3.307e+05,5.206e+05
169.3,1.673e+05,3.362e+04,3.486e+05,5.495e+05
170.9,1.718e+05,3.226e+04,3.498e+05,5.539e+05
172.4,1.699e+05,3.103e+04,3.346e+05,5.356e+05
174.0,1.665e+05,3.106e+04,3.265e+05,5.241e+05
175.6,1.644e+05,2.908e+04,3.261e+05,5.196e+05
177.1,1.650e+05,2.572e+04,3.203e+05,5.110e+05
178.7,1.657e+05,2.255e+04,3.220e+05,5.102e+05
180.3,1.658e+05,1.989e+04,3.214e+05,5.070e+05
181.8,1.655e+05,1.779e+04,3.158e+05,4.991e+05
183.4,1.615e+05,1.689e+04,3.153e+05,4.938e+05
185.0,1.590e+05,1.390e+04,3.169e+05,4.898e+05
186.5,1.499e+05,1.140e+04,3.096e+05,4.709e+05
188.1,1.431e+05,9.988e+03,3.025e+05,4.556e+05
189.7,1.374e+05,8.900e+03,2.936e+05,4.399e+05
191.2,1.374e+05,8.877e+03,2.898e+05,4.361e+05
192.8,1.438e+05,1.006e+04,2.843e+05,4.381e+05
194.4,1.477e+05,1.222e+04,2.619e+05,4.218e+05
195.9,1.638e+05,1.733e+04,2.535e+05,4.346e+05
197.5,1.859e+05,2.380e+04,2.716e+05,4.812e+05
199.1,2.031e+05,3.094e+04,2.919e+05,5.259e+05
