freq,psd_x,psd_y,psd_z,psd_xyz
0.0,4.108e+01,3.627e+02,1.787e+01,4.217e+02
1.6,4.543e+01,2.775e+02,7.288e+01,3.958e+02
3.1,2.963e+01,1.136e+02,7.759e+01,2.208e+02
4.7,2.875e+01,5.277e+02,7.758e+01,6.340e+02
6.3,2.900e+01,1.592e+03,8.298e+01,1.704e+03
7.8,3.223e+01,2.228e+03,8.062e+01,2.341e+03
9.4,3.291e+01,2.984e+03,8.634e+01,3.104e+03
11.0,3.508e+01,3.900e+03,8.825e+01,4.023e+03
12.5,3.003e+01,5.382e+03,8.208e+01,5.494e+03
14.1,2.773e+01,7.473e+03,8.093e+01,7.582e+03
15.7,3.011e+01,1.015e+04,8.048e+01,1.026e+04
17.3,3.369e+01,1.288e+04,8.012e+01,1.300e+04
18.8,3.351e+01,1.527e+04,8.794e+01,1.539e+04
20.4,4.112e+01,1.783e+04,9.160e+01,1.796e+04
22.0,5.064e+01,2.092e+04,9.768e+01,2.107e+04
23.5,4.926e+01,2.534e+04,9.979e+01,2.549e+04
25.1,3.824e+01,3.169e+04,8.886e+01,3.182e+04
26.7,4.065e+01,4.107e+04,1.037e+02,4.121e+04
28.2,4.718e+01,4.983e+04,1.130e+02,4.999e+04
29.8,6.487e+01,5.969e+04,1.025e+02,5.985e+04
31.4,1.092e+02,7.385e+04,9.437e+01,7.406e+04
32.9,2.006e+02,8.934e+04,1.040e+02,8.965e+04
34.5,3.555e+02,1.108e+05,1.234e+02,1.112e+05
36.1,7.900e+02,1.540e+05,1.944e+02,1.550e+05
37.6,1.850e+03,2.226e+05,4.462e+02,2.249e+05
39.2,3.523e+03,3.323e+05,6.995e+02,3.365e+05
40.8,5.624e+03,4.789e+05,9.173e+02,4.855e+05
42.3,1.158e+04,6.917e+05,1.133e+03,7.044e+05
43.9,2.281e+04,8.397e+05,9.689e+02,8.635e+05
45.5,2.717e+04,7.118e+05,7.598e+02,7.397e+05
47.0,2.418e+04,5.167e+05,8.800e+02,5.417e+05
